employee_id,gender,birthdate,position_id,position_name,p_np,company_id
RGEC_RF_129,F,6/30/1996,RF,,NP,RGEC
PSC_MM_130,M,11/29/1989,MM,,NP,PSC
MGI_RF_131,F,3/23/1979,RF,,P,MGI
RGEC_RF_132,M,3/6/1987,RF,,P,RGEC
MGI_MM_133,F,5/4/1985,MM,,P,MGI
RGEC_RF_134,M,11/3/1998,RF,,NP,RGEC
MGI_RF_135,M,9/17/1997,RF,,NP,MGI
RGEC_RF_136,M,7/1/1997,RF,,NP,RGEC
RGEC_RF_137,M,6/16/1981,RF,,NP,RGEC
RGEC_RF_138,F,6/22/1980,RF,,P,RGEC
MGI_RF_139,M,10/3/1982,RF,,P,MGI
MGI_MM_140,F,4/9/1980,MM,,NP,MGI
PWEI_RF_141,F,2/20/1996,RF,,NP,PWEI
PSC_MM_142,M,1/23/1981,MM,,NP,PSC
RGEC_RF_143,M,11/12/1996,RF,,NP,RGEC
RGEC_MM_144,M,5/11/1972,MM,,P,RGEC
RGEC_MM_145,M,9/21/1981,MM,,NP,RGEC
PSC_RF_146,F,5/18/1997,RF,,NP,PSC
MGI_RF_147,M,2/10/1994,RF,,P,MGI
MGI_RF_148,M,1/1/1975,RF,,P,MGI
RGEC_RF_149,M,4/25/1993,RF,,NP,RGEC
RGEC_RF_150,M,8/10/1990,RF,,P,RGEC
RGEC_RF_151,M,12/24/1978,RF,,P,RGEC
RGEC_RF_152,F,11/1/1963,RF,,NP,RGEC
RGEC_MM_153,M,3/9/1997,MM,,P,RGEC
RGEC_MM_154,M,1/8/1975,MM,,NP,RGEC
PSC_MM_155,M,5/9/1994,MM,,P,PSC
MGI_RF_156,F,1/23/1981,RF,,NP,MGI
PSC_SM_157,M,9/2/1985,SM,,P,PSC
PWEI_SM_158,M,5/12/1995,SM,,P,PWEI
MGI_MM_159,M,12/2/1992,MM,,P,MGI
MGI_MM_160,M,3/2/1993,MM,,P,MGI
MGI_MM_161,M,8/19/1997,MM,,P,MGI
PWEI_MM_162,F,5/21/1966,MM,,P,PWEI
